fold,seed,closure,feature_set,auprc,auroc,normalized_ap,balanced_accuracy,f1,precision,recall,n_tissues
fold_a,314159,strict,coordinate,0.46190967845315917,0.5061524141250642,0.01570329471615532,0.4999084764269278,0.6228018690353212,0.45327831753914055,0.995136266433413,5
fold_a,314159,strict,coordinate_plus_frozen_pangenomefm,0.4694698951219946,0.5201676629490776,0.02926670317436202,0.5004213621019402,0.6236844531793372,0.45353257321132706,0.9985877632898695,5
fold_a,314159,strict,coordinate_plus_frozen_sequence_fm,0.5845460663448826,0.6536456768661265,0.23953140001107184,0.5700410365963469,0.6413330415961521,0.4971068177400923,0.9062570108840349,5
fold_a,314159,strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5832947293931441,0.651915377886878,0.23722979379627596,0.5793062204975115,0.6413192194749676,0.5043196928044218,0.8831536197900476,5
fold_a,314159,strict,frozen_pangenomefm,0.4667121451284112,0.5189392797560237,0.024353911267007,0.5000302047927485,0.6237218238941337,0.45333913996189096,0.9998400368474651,5
fold_a,314159,strict,frozen_sequence_fm,0.5823142055515724,0.6512990642625404,0.23542431416292314,0.5711222299697625,0.6405634715946908,0.49789940619687945,0.90006769517761,5
fold_a,314159,strict,sequence_kmer,0.5564714835196185,0.6293284735797806,0.18810803705742057,0.5435160643238192,0.6323729430029682,0.4779561176294931,0.9351358603834674,5
fold_a,20260806,1hop,coordinate,0.46190967845315917,0.5061524141250642,0.01570329471615532,0.4999084764269278,0.6228018690353212,0.45327831753914055,0.995136266433413,5
fold_a,20260806,1hop,coordinate_plus_frozen_pangenomefm,0.4809938661841849,0.5344585368322529,0.05046281311735856,0.5013689362059719,0.6227259832184056,0.45403081633748615,0.9909529588661463,5
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm,0.5845460663448826,0.6536456768661265,0.23953140001107184,0.5700410365963469,0.6413330415961521,0.4971068177400923,0.9062570108840349,5
fold_a,20260806,1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5871372216070829,0.6538834769906603,0.24434212398307595,0.5709704673644675,0.6402368761878336,0.4981502845200204,0.898723543847036,5
fold_a,20260806,1hop,frozen_pangenomefm,0.4820610702431318,0.5342932051111825,0.05246786483698436,0.5014557946330763,0.6232630357329139,0.4540662697830017,0.9935688029596375,5
fold_a,20260806,1hop,frozen_sequence_fm,0.5823142055515724,0.6512990642625404,0.23542431416292314,0.5711222299697625,0.6405634715946908,0.49789940619687945,0.90006769517761,5
fold_a,20260806,1hop,sequence_kmer,0.5564714835196185,0.6293284735797806,0.18810803705742057,0.5435160643238192,0.6323729430029682,0.4779561176294931,0.9351358603834674,5
fold_a,20260806,strict,coordinate,0.46190967845315917,0.5061524141250642,0.01570329471615532,0.4999084764269278,0.6228018690353212,0.45327831753914055,0.995136266433413,5
fold_a,20260806,strict,coordinate_plus_frozen_pangenomefm,0.47012445631391,0.523950656757126,0.030357267030463563,0.5007268955485313,0.6238425073812426,0.45368370895678234,0.9986621084525963,5
fold_a,20260806,strict,coordinate_plus_frozen_sequence_fm,0.5845460663448826,0.6536456768661265,0.23953140001107184,0.5700410365963469,0.6413330415961521,0.4971068177400923,0.9062570108840349,5
fold_a,20260806,strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5843577693584607,0.6524416138371733,0.23917877682973723,0.571082603720968,0.6402774974928879,0.49769865864218216,0.8992364628343275,5
fold_a,20260806,strict,frozen_pangenomefm,0.46704418280368926,0.5210511500184655,0.02481409452297652,0.5001981603388466,0.6237388449952742,0.4534213720059682,0.9995028206485108,5
fold_a,20260806,strict,frozen_sequence_fm,0.5823142055515724,0.6512990642625404,0.23542431416292314,0.5711222299697625,0.6405634715946908,0.49789940619687945,0.90006769517761,5
fold_a,20260806,strict,sequence_kmer,0.5564714835196185,0.6293284735797806,0.18810803705742057,0.5435160643238192,0.6323729430029682,0.4779561176294931,0.9351358603834674,5
fold_b,42,1hop,coordinate,0.44870851256780864,0.5156300857087386,0.00942771160254616,0.5007188217750383,0.6130433604465743,0.4434877442582913,0.9935154853231231,5
fold_b,42,1hop,coordinate_plus_frozen_pangenomefm,0.46420993839425756,0.5292088771902731,0.0376869141333991,0.49994697378915565,0.6138365152790006,0.4431045672515375,0.9998092375531998,5
fold_b,42,1hop,coordinate_plus_frozen_sequence_fm,0.5774721777086288,0.6517825373535565,0.24056805903110812,0.5652935716810378,0.6291339977493047,0.48281045276441475,0.9037672267497164,5
fold_b,42,1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5785437226045858,0.653193654319656,0.24257596755802843,0.5643088540849517,0.6292414579343157,0.4817554873508431,0.9073508364775863,5
fold_b,42,1hop,frozen_pangenomefm,0.4666393578973744,0.5296000079819148,0.042146000261862604,0.499998663954453,0.6138958356743534,0.4431303956605978,0.999983558491586,5
fold_b,42,1hop,frozen_sequence_fm,0.5779006339098337,0.6510755327622029,0.24137493830110449,0.5667999970459127,0.6282975908882317,0.4844295212199878,0.8956916874179722,5
fold_b,42,1hop,sequence_kmer,0.5583620040222608,0.6295066630720084,0.20625824125007391,0.542760752983049,0.6217443943776255,0.468541592325619,0.9256402566365706,5
fold_b,42,strict,coordinate,0.44870851256780864,0.5156300857087386,0.00942771160254616,0.5007188217750383,0.6130433604465743,0.4434877442582913,0.9935154853231231,5
fold_b,42,strict,coordinate_plus_frozen_pangenomefm,0.46603236593343667,0.5332681323685607,0.04074035813984498,0.500424543917292,0.6137839888274501,0.44334168745710356,0.9984006746577521,5
fold_b,42,strict,coordinate_plus_frozen_sequence_fm,0.5774721777086288,0.6517825373535565,0.24056805903110812,0.5652935716810378,0.6291339977493047,0.48281045276441475,0.9037672267497164,5
fold_b,42,strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.578006186264348,0.6523625266669728,0.2415719382402258,0.5608898606549636,0.6289213551845544,0.4797949764895287,0.9137526129273119,5
fold_b,42,strict,frozen_pangenomefm,0.46772677443906296,0.5330451763848816,0.04396632571435274,0.5001888246477497,0.6138632439470365,0.44322428294109767,0.9993284673257798,5
