fold,seed,context,feature_set,sample,canonical_sample,in_hprc,unit,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19836,NA19836,False,haplotype_1,3001,0.6081306231256248,0.2332431453983942,0.8726812505824246,0.9105050883453096,0.7434188603798734,0.7193347193347194,0.947945205479452,0.817966903073286,0.4627784142416714,0.14989755220043535,0.09244629669029868
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19836,NA19836,False,haplotype_2,2938,0.6136827773995915,0.2332431453983942,0.8697884827294694,0.906787324009564,0.7481279782164738,0.7243562684677078,0.9517470881863561,0.822627037392138,0.46740405911672556,0.15161795817976764,0.09242958438771505
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19983,NA19983,False,donor,4782,0.6265161020493517,0.2332431453983942,0.8635067921842786,0.9089230892305891,0.7473860309493936,0.7294661190965093,0.9485981308411215,0.824724318049913,0.4778634661041427,0.1559268917825399,0.10103769533732539
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19983,NA19983,False,haplotype_1,2977,0.6268055089015788,0.2332431453983942,0.8694840545147763,0.9153932870148458,0.7531071548538797,0.7343555739743058,0.9496248660235799,0.8282308950689413,0.4712396070163946,0.15318980080742775,0.10179096019254891
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA19983,NA19983,False,haplotype_2,2976,0.6186155913978495,0.2332431453983942,0.8718707750767516,0.9109570365961366,0.7493279569892473,0.7272727272727273,0.9516567083107007,0.8244705882352941,0.46565081749394044,0.150773139046633,0.09326053135233374
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA20355,NA20355,False,donor,4822,0.6105350476980506,0.2332431453983942,0.8651743261506228,0.9042248001117209,0.7411862297801742,0.7171018945212494,0.9514266304347826,0.8178102189781022,0.4746823135423709,0.15445894058867982,0.08990960023816312
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA20355,NA20355,False,haplotype_1,3019,0.6091421000331235,0.2332431453983942,0.8729921844038304,0.9099145812720665,0.7499171911228883,0.7241521918941274,0.9521479064709081,0.8226450552031948,0.4661113241594488,0.15113030064504646,0.09327723008962703
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA20355,NA20355,False,haplotype_2,3010,0.6112956810631229,0.2332431453983942,0.8729136473429951,0.9077388405925484,0.7495016611295681,0.7249378624689312,0.9510869565217391,0.8227550540667607,0.46563697374927865,0.1503707401307393,0.09074713898733788
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA20509,NA20509,False,donor,4144,0.6167953667953668,0.2332431453983942,0.8703468009287182,0.9166453822371354,0.7384169884169884,0.7187871581450654,0.9460093896713615,0.8168918918918919,0.4691509056109547,0.15213449422333275,0.09262087036060004
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA20509,NA20509,False,haplotype_1,2764,0.61794500723589,0.2332431453983942,0.8867789058618978,0.9275842423012066,0.7489146164978292,0.7275583482944344,0.9490632318501171,0.8236788617886179,0.4484662786261521,0.14336599865719582,0.09105794264804432
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA20509,NA20509,False,haplotype_2,2737,0.6247716477895506,0.2332431453983942,0.8731313027782048,0.9192326797967634,0.7475337961271465,0.7289887640449438,0.9485380116959065,0.8243964421855147,0.46645435233510474,0.15078274487299703,0.09741627860774539
fold_e,42,1hop,coordinate_plus_frozen_sequence_fm,NA20847,NA20847,False,donor,4167,0.6301895848332133,0.2332431453983942,0.8688263375331693,0.9188299271156822,0.7525797936165107,0.7355982274741507,0.9482102056359482,0.8284811179504242,0.4696931520529854,0.1529333139074888,0.10089970653833026
