sample,unit,context,in_hprc,mean_n,mean_prevalence,metric,feature_set,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
HG00512,haplotype_2,strict,False,3484.6,0.6211965771936235,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9155029360355375,0.01070666141016817,0.9064554307929916,0.9241958099236204,15,5,0
HG00513,donor,1hop,False,5201.2,0.6204234976055221,auprc,coordinate_plus_frozen_sequence_fm,0.9051483531224616,0.012750806040911365,0.8938120674992726,0.9148818961319527,15,5,0
HG00513,donor,1hop,False,5201.2,0.6204234976055221,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9481994286176917,0.009402026274287942,0.9398708316278763,0.9541397526124701,15,5,0
HG00513,donor,1hop,False,5201.2,0.6204234976055221,auroc,coordinate_plus_frozen_sequence_fm,0.8585447088805156,0.010110300484575719,0.8495962050260879,0.8664234457570789,15,5,0
HG00513,donor,1hop,False,5201.2,0.6204234976055221,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9205010028219055,0.008878353818820059,0.9130840697314768,0.9269844326404355,15,5,0
HG00513,donor,strict,False,5201.2,0.6204234976055221,auprc,coordinate_plus_frozen_sequence_fm,0.9051483531224616,0.012750806040911365,0.8938120674992726,0.9148818961319527,15,5,0
HG00513,donor,strict,False,5201.2,0.6204234976055221,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9411914784089872,0.008982188039843146,0.9330846875366978,0.9480275991322693,15,5,0
HG00513,donor,strict,False,5201.2,0.6204234976055221,auroc,coordinate_plus_frozen_sequence_fm,0.8585447088805156,0.010110300484575719,0.8495962050260879,0.8664234457570789,15,5,0
HG00513,donor,strict,False,5201.2,0.6204234976055221,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.907885602124216,0.00922247725162819,0.9000564608797217,0.9151117724878567,15,5,0
HG00513,haplotype_1,1hop,False,3507.4,0.6177737674814373,auprc,coordinate_plus_frozen_sequence_fm,0.9089136757137882,0.013136780455352888,0.8974404291780196,0.9185203248547735,15,5,0
HG00513,haplotype_1,1hop,False,3507.4,0.6177737674814373,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9514648302870259,0.009570598821070404,0.9428005095643968,0.9572158948054187,15,5,0
HG00513,haplotype_1,1hop,False,3507.4,0.6177737674814373,auroc,coordinate_plus_frozen_sequence_fm,0.8671278132665642,0.01049666533806983,0.857851938404372,0.8748944441444685,15,5,0
HG00513,haplotype_1,1hop,False,3507.4,0.6177737674814373,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9267908421497211,0.009074308162465907,0.9186374695533711,0.9326390563017913,15,5,0
HG00513,haplotype_1,strict,False,3507.4,0.6177737674814373,auprc,coordinate_plus_frozen_sequence_fm,0.9089136757137882,0.013136780455352888,0.8974404291780196,0.9185203248547735,15,5,0
HG00513,haplotype_1,strict,False,3507.4,0.6177737674814373,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9438659727099377,0.008335324505064863,0.9363590496149845,0.949892451830638,15,5,0
